track_id,popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo
1KHdq8NK9QxnGjdXb55NiG,58,244986,0.489,0.561,-7.933,0.0274,0.2,0.179,0.238,83.457
6xKeQgzfjixSUld14qUezm,56,129750,0.706,0.112,-18.098,0.0391,0.827,0.125,0.414,110.154
4Yo0igmcoNyat1secaH0OD,54,169728,0.795,0.0841,-18.09,0.0461,0.742,0.0853,0.609,91.803
2qLMf6TuEC3ruGJg4SMMN6,68,189613,0.625,0.414,-8.7,0.0369,0.294,0.151,0.669,130.088
6CgNoAbFJ4Q4Id4EjtbXlC,67,260186,0.717,0.32,-8.393,0.0283,0.83,0.107,0.322,107.946
3S0OXQeoh0w6AY8WQVckRW,75,242946,0.703,0.444,-9.331,0.0417,0.559,0.0973,0.712,150.96
210JCw2LbYD4YIs8GiZ9iP,63,174174,0.678,0.351,-8.654,0.0266,0.747,0.355,0.569,90.032
5TvE3pk05pyFIGdSY9j4DJ,70,229400,0.407,0.147,-8.822,0.0355,0.857,0.0913,0.0765,141.284
0BUuuEvNa5T4lMaewyiudB,0,216386,0.572,0.454,-10.286,0.0258,0.477,0.0974,0.515,140.182
3Hn3LfhrQOaKihdCibJsTs,0,231266,0.796,0.667,-4.831,0.0392,0.381,0.221,0.754,97.988
6D33wCKzWtNEgOovgeVJ7r,1,302346,0.755,0.454,-9.609,0.0352,0.757,0.236,0.33,120.06
5IfCZDRXZrqZSm8AwE44PG,0,131760,0.62,0.309,-9.209,0.0495,0.788,0.146,0.664,145.363
0dzKBptH2P5j5a0MifBMwM,0,273653,0.633,0.429,-6.784,0.0381,0.0444,0.132,0.52,143.793
5QAMZTM5cmLg3fHX9ZbTZi,0,131760,0.62,0.309,-9.209,0.0495,0.788,0.146,0.664,145.363
2qESE1ZeWly7I3YjyTXmXh,0,131760,0.62,0.309,-9.209,0.0495,0.788,0.146,0.664,145.363
3EQV1ZHtHvq9OnVRYIdbg3,0,131760,0.62,0.309,-9.209,0.0495,0.788,0.146,0.664,145.363
3ax0rfGb7exLtl02LL08U9,0,131760,0.62,0.309,-9.209,0.0495,0.788,0.146,0.664,145.363
1m5LC29RE52Bxy7hxvpOlL,0,234186,0.593,0.455,-8.192,0.0388,0.366,0.0914,0.564,202.019
3H36x7buZdQD4687VmFrwY,0,259558,0.296,0.206,-11.799,0.0412,0.782,0.0959,0.202,165.4
0xbMRcMFqxJq1Wa7tvWPtn,0,259558,0.296,0.206,-11.799,0.0412,0.782,0.0959,0.202,165.4
6h061f44HZPj1OXO2nA45d,0,259558,0.296,0.206,-11.799,0.0412,0.782,0.0959,0.202,165.4
62EwQLDw0dprDzuLwQ0sH1,0,257493,0.409,0.153,-10.74,0.0306,0.939,0.108,0.18,85.262
3lvo0I8c2qBJDLZWqExDgC,0,247791,0.501,0.0952,-12.931,0.054,0.963,0.0915,0.316,138.016
1ae8XfBQ3fDEvmBjFaemGV,0,206267,0.606,0.326,-10.031,0.0294,0.841,0.139,0.414,91.626
0adVktNVJXPZfhQe6B1NO5,0,257493,0.409,0.153,-10.74,0.0306,0.939,0.108,0.18,85.262
6sp6Vx3sv2l5qxPfbQkcyt,0,306794,0.474,0.519,-5.291,0.0253,0.281,0.107,0.326,151.832
1WFVfVjCtbmdIv7j3Fa9iy,0,266960,0.568,0.301,-10.163,0.0373,0.796,0.118,0.142,88.029
0e5PAxSyZ5DWWVqKANHETz,0,230098,0.568,0.686,-6.635,0.033,0.15,0.0881,0.725,172.075
1MLr9b1fOybO3MGiLy47Ys,0,230098,0.568,0.686,-6.635,0.033,0.15,0.0881,0.725,172.075
6JGjevTaqr9J1xp7YvYUKF,0,193943,0.476,0.666,-3.438,0.0446,0.314,0.342,0.498,148.155
7Af2YlwMZryKOQiRfwMsD2,0,230098,0.568,0.686,-6.635,0.033,0.15,0.0881,0.725,172.075
3RE5nHIVkC4KcA7snFaTKd,0,230098,0.568,0.686,-6.635,0.033,0.15,0.0881,0.725,172.075
0JvkNRyq8Tmot9khpdtN0I,0,230098,0.568,0.686,-6.635,0.033,0.15,0.0881,0.725,172.075
27gHtbsHClwimHFtKgFop4,0,230098,0.568,0.686,-6.635,0.033,0.15,0.0881,0.725,172.075
1QBNBGeIRRGBnLhdlHbfI8,0,230098,0.568,0.686,-6.635,0.033,0.15,0.0881,0.725,172.075
72xTsTouZ5nBmASX8k1XCW,46,213098,0.596,0.2,-10.424,0.0305,0.91,0.0884,0.308,107.893
3ILmwMefYZoQh5Cf5jeuUQ,61,232360,0.373,0.914,-4.185,0.0565,0.076,0.669,0.56,168.21
2DHDuADAHoUW6n0z80RLQF,60,241119,0.494,0.652,-5.863,0.0314,0.0754,0.125,0.298,137.018
5JDcQAztvZTIkrWoZihgvC,68,220239,0.447,0.393,-8.65,0.038,0.785,0.28,0.564,73.139
2sYFi9xVSZ56WHKSY2fN1K,52,171543,0.576,0.331,-9.389,0.0306,0.894,0.129,0.407,149.02
6xJOhSm4SvZwzy3uhWz26O,62,286865,0.536,0.89,-5.222,0.0375,0.078,0.131,0.273,121.974
7lLKxcNeJtDTWVRKHovLEC,51,234473,0.526,0.333,-13.02,0.0314,0.91,0.111,0.159,94.951
25UzeaV47eDT44Fovve6xQ,0,216000,0.501,0.381,-9.448,0.036,0.687,0.119,0.502,80.075
4oa14QBfWRDfJy2agySy0L,67,232760,0.27,0.275,-10.357,0.0356,0.834,0.146,0.231,168.964
2gRKq9rIC5i1zuxp06zJWH,57,178600,0.731,0.507,-6.477,0.046,0.572,0.0912,0.265,117.969
08MFgEQeVLF37EyZ7jcwLc,75,254400,0.375,0.457,-7.018,0.0315,0.868,0.191,0.415,174.839
6nXIYClvJAfi6ujLiKqEq8,62,244320,0.43,0.791,-5.419,0.0302,0.0726,0.11,0.217,171.864
7x4b0UccXSKBWxWmjcrG2T,66,124933,0.616,0.282,-15.317,0.0331,0.983,0.13,0.435,96.638
6owKuyHxUqidcAA6fPKSyy,64,222146,0.705,0.347,-8.249,0.0301,0.674,0.12,0.36,80.057
0wbmIfvndFV9VDvuUY1pYN,62,181852,0.582,0.255,-10.254,0.0306,0.772,0.0889,0.285,139.884
3e5yu9MkIvQx17mm7LF6KY,58,186584,0.549,0.274,-12.565,0.0379,0.798,0.103,0.207,86.664
6VwAh8Z1d5YKoSWoEaV4db,65,159600,0.787,0.355,-11.429,0.0288,0.896,0.111,0.48,99.978
2D4BSm5Z8Hq5zYbSgJwEOh,67,250266,0.397,0.303,-7.508,0.0435,0.381,0.101,0.172,81.05
7LwGBxB0h0CVmkOZxYKn0g,65,318908,0.548,0.42,-7.842,0.0277,0.198,0.0899,0.196,128.012
0ZwdH0m32I8odedwvspYTh,44,222351,0.787,0.403,-11.989,0.033,0.603,0.131,0.264,118.042
16dkWKIlBsfYTISCVuDs0w,55,219480,0.484,0.573,-6.183,0.0298,0.0882,0.15,0.346,139.966
3TwtrR1yNLY1PMPsrGQpOp,70,221693,0.382,0.416,-9.303,0.0302,0.0733,0.0719,0.125,102.089
3Et4LKZLnXygPYfNdeB3D3,57,354400,0.541,0.575,-9.463,0.0491,0.677,0.102,0.428,91.98
2E9viCx0hJKNKNThd2MdGQ,56,177500,0.607,0.473,-8.555,0.034,0.712,0.66,0.54,119.698
0Zf1BPkkFAWGtVHeBwHHz4,56,247840,0.417,0.595,-7.84,0.0396,0.158,0.101,0.117,147.928
38jy6kRlPt8z1GUS9WXeNh,67,216386,0.572,0.454,-10.286,0.0258,0.477,0.0974,0.515,140.182
2SkJKMfjpYsNv0KWOxiegX,62,229320,0.709,0.913,-5.148,0.0748,0.0182,0.167,0.519,108.024
4qCbMMMuEB56kHd4zPE6GD,45,330933,0.537,0.342,-13.553,0.0273,0.645,0.0687,0.253,109.236
11TK5KLtLZUdKr1C549bAw,64,172213,0.602,0.336,-11.106,0.0369,0.883,0.143,0.335,90.894
7BXW1QCg56yzEBV8pW8pah,65,226106,0.643,0.638,-4.947,0.0407,0.204,0.0707,0.6,82.001
2kMrCPZ0o5gErBPLCRgoli,0,235173,0.451,0.7,-6.597,0.0431,0.455,0.405,0.37,150.055
5IjTZ1g8KrIuV97N3OQZ0V,0,195213,0.546,0.391,-10.786,0.063,0.784,0.0552,0.202,139.669
3bHhUEOTIbezeZ856R0BX5,68,236306,0.561,0.327,-10.835,0.0327,0.902,0.111,0.298,161.858
0wf17wsLRwnnfh241GkeH5,0,181400,0.479,0.541,-9.862,0.0543,0.74,0.108,0.3,85.994
3322ArxAq7wCSZI4fF77Q0,0,181400,0.479,0.541,-9.862,0.0543,0.74,0.108,0.3,85.994
4LGF2tDg3878bs0mQPByZ4,61,164500,0.436,0.4,-11.485,0.0272,0.904,0.125,0.351,100.734
6Uy6K3KdmUdAfelUp0SeXn,70,220573,0.551,0.836,-3.838,0.0524,0.00502,0.0425,0.758,185.063
2z2JKNU24UEngb4joR9p8f,0,257493,0.409,0.153,-10.74,0.0306,0.939,0.108,0.18,85.262
2nef44o0sjJDKB1ta4S0ub,0,257493,0.409,0.153,-10.74,0.0306,0.939,0.108,0.18,85.262
0qJGlogD7AyMLAJfQ42aI2,62,210612,0.6,0.845,-7.076,0.0311,0.048,0.24,0.392,97.631
04JS6OitE9VGsIS3S94Osg,0,154440,0.492,0.145,-14.504,0.0422,0.872,0.107,0.218,90.078
5OGpsZeJRZ3t3MZioawcZW,0,154440,0.492,0.145,-14.504,0.0422,0.872,0.107,0.218,90.078
3Vnes7v746dYzBn0FJTZ1W,0,263866,0.447,0.555,-6.018,0.0349,0.218,0.124,0.33,117.888
30cYWLpVdBZVLb1cYdmcTT,0,154440,0.492,0.145,-14.504,0.0422,0.872,0.107,0.218,90.078
7sUqJ51FGSi3n7x4pYjY3v,0,154440,0.492,0.145,-14.504,0.0422,0.872,0.107,0.218,90.078
15BFn2VmEtonsXfNL1lUmy,0,154440,0.492,0.145,-14.504,0.0422,0.872,0.107,0.218,90.078
0WOFJR54wyTwLB11jcBDb1,0,154440,0.492,0.145,-14.504,0.0422,0.872,0.107,0.218,90.078
1uDCw6LVMOmbZ6zRliNcNX,0,154440,0.492,0.145,-14.504,0.0422,0.872,0.107,0.218,90.078
7DYsBLdOqz0z14tYWMt2Tn,0,177613,0.661,0.937,-5.157,0.0979,0.322,0.19,0.805,105.549
7cPuE0M35EajWPRO3nRcH8,0,199040,0.603,0.78,-5.531,0.0438,0.139,0.164,0.693,100.499
0U32q8CZRRo7xCzyiaZw5f,58,293040,0.626,0.655,-6.69,0.0263,0.503,0.13,0.542,92.003
4kQXMVjoZ9yMibLZq5Aqi5,50,138495,0.794,0.38,-8.769,0.0477,0.762,0.262,0.617,114.99
3us8sod4dLbM9FiMiPiEY8,59,198626,0.52,0.279,-10.739,0.0547,0.894,0.103,0.0951,69.642
1PR5pyPiOEEQ02oJYq402x,57,292566,0.545,0.658,-7.174,0.0474,0.496,0.105,0.683,76.971
068qo0w1Ki0cjnFYOUhAm2,60,199019,0.728,0.266,-7.322,0.0293,0.872,0.114,0.307,115.189
2RFt6ZWQbr9mPhsft9u9eX,61,181760,0.66,0.407,-8.381,0.0571,0.236,0.109,0.257,133.86
59pUIlXjQupbiYwt40uUTi,49,349920,0.357,0.161,-10.667,0.0388,0.971,0.358,0.325,83.449
0VhZ5JYfqPojSYeGWnk4dL,55,204973,0.479,0.154,-11.282,0.0352,0.915,0.0974,0.36,147.207
0ltIx8PLjtWoS9zn9PqsZW,51,322146,0.592,0.769,-5.268,0.0311,0.319,0.137,0.385,102.033
7ACW42whcdOiUxiNVu7ltx,46,210375,0.7,0.454,-10.39,0.0388,0.55,0.121,0.34,80.011
4qTHoIp62ngNDpUJwW3hZ7,57,131000,0.402,0.197,-10.775,0.0295,0.858,0.114,0.148,100.044
4VbDTk82rqWqVgoQC93CkC,58,218531,0.507,0.378,-9.019,0.0332,0.852,0.0937,0.085,135.86
1pG5nd6gmfbMwUfT5shDQe,51,195945,0.619,0.226,-13.453,0.0641,0.959,0.106,0.188,124.96
2WZyfujzMweFLnozyUJBkW,63,245933,0.404,0.571,-5.069,0.0303,0.182,0.129,0.29,147.01
6gijbGNDNNJgT60Aj7UCyc,53,212386,0.418,0.79,-6.599,0.0506,0.0284,0.117,0.197,175.975
5pq4v03P5PxMcnCagg4S3Z,60,225165,0.633,0.299,-7.798,0.0353,0.833,0.109,0.341,147.549
08OjvLnGR3M0HUhcePeMNO,47,112008,0.565,0.0392,-28.276,0.045,0.835,0.117,0.601,125.399
65VhbQdqvozUntjnlFkFbZ,60,123609,0.664,0.0755,-19.836,0.0389,0.91,0.164,0.575,80.004
05pKAafT85jeeNhZ6kq7HT,66,240165,0.585,0.303,-10.058,0.0398,0.694,0.115,0.142,136.703
3PG6V5yuFfo4APiovOQoRv,67,265843,0.65,0.271,-11.081,0.0314,0.794,0.196,0.21,78.036
5O9R57EozcpLKGQBzadPVy,43,194194,0.534,0.213,-8.64,0.0283,0.884,0.107,0.0998,98.385
6ta5yavnnEfCE4faU0jebM,54,154600,0.456,0.386,-10.293,0.032,0.835,0.389,0.612,165.733
7BRCa8MPiyuvr2VU3O9W0F,60,158960,0.409,0.234,-13.711,0.0323,0.338,0.0895,0.145,139.832
5ZhaKUsY68U0lgREFWfoxg,49,319000,0.502,0.53,-9.573,0.0266,0.805,0.0728,0.102,78.046
4zcMBfbQZvBSHQBGDd6gsN,57,214360,0.496,0.117,-12.884,0.0301,0.933,0.126,0.318,78.068
7bhHLZxkRekrNPPkEdDTbn,42,204480,0.585,0.724,-6.513,0.0745,0.315,0.0448,0.333,187.484
5rwq6R0Uq0BngM3rdmCeNg,67,277000,0.582,0.253,-11.43,0.0259,0.827,0.091,0.294,90.186
2lxBZVbkiCXC1soks2RXwV,61,214240,0.637,0.14,-11.472,0.0407,0.903,0.107,0.392,139.78
38YgZVHPWOWsKrsCXz6JyP,71,215173,0.672,0.623,-5.699,0.0297,0.241,0.0848,0.617,92.018
6XrNrp7UtGgyZcHJ0ckL0w,49,296862,0.422,0.272,-10.772,0.0353,0.496,0.0704,0.113,143.413
72R0X0h8YaxYNpegeoOl0M,61,235813,0.47,0.801,-6.426,0.0352,0.0758,0.218,0.431,173.92
6R6ux6KaKrhAg2EIB2krdU,61,228933,0.564,0.864,-5.121,0.0341,0.0761,0.182,0.534,95.984
2D9w6sabdMCLSheW5aegwO,20,339196,0.521,0.495,-7.756,0.027,0.128,0.296,0.116,135.061
1Qo3taHLFSQpzLm5Sty7M4,22,296843,0.616,0.81,-6.51,0.0668,0.369,0.107,0.79,97.994
71M4QMn8nrok1KFVXwEEyU,35,218240,0.615,0.812,-6.573,0.0458,0.184,0.328,0.74,98.954
4lxGVzcUaSF5HW5jtWnShV,60,151773,0.478,0.305,-13.062,0.0306,0.675,0.169,0.0974,108.66
2PIlBukQ6limukVR8Ubb5o,59,181400,0.479,0.541,-9.862,0.0545,0.737,0.108,0.321,85.994
5p9XWUdvbUzmPCukOmwoU3,73,201706,0.587,0.767,-5.713,0.0449,0.225,0.112,0.664,100.38
1uSuY2qLCbx1QB7oPUVhFG,22,192260,0.514,0.569,-7.866,0.03,0.601,0.218,0.264,142.597
6twvFrIoIINH8UW8EB8OnU,19,198855,0.646,0.836,-6.203,0.0327,0.301,0.29,0.727,105.991
2pelUnMKr07JjJpilj9Yew,24,191889,0.57,0.711,-4.155,0.0703,0.119,0.352,0.648,163.117
7d0bJhpp0mCYyMXaMgWyMS,57,171293,0.678,0.199,-9.785,0.0307,0.957,0.0968,0.262,72.006
73CbJykoV6WapWGfTeRzTl,35,256440,0.589,0.867,-4.523,0.0385,0.041,0.306,0.795,94.52
3ixLIO5BsTmic0Pp27FaPY,20,221425,0.626,0.926,-4.441,0.0477,0.0265,0.159,0.548,99.997
5ZetMq21bMQN5oo4TtdOxu,18,255047,0.686,0.556,-8.5,0.0271,0.532,0.0922,0.36,112.997
73oHkllHIT8fdbzpxiXW40,19,208793,0.56,0.832,-5.595,0.0352,0.108,0.232,0.802,100.957
4MihgVRpD82EZoT61GW63w,23,214552,0.619,0.793,-5.964,0.0661,0.263,0.0828,0.892,177.991
1BECZPXBXzobsfmlzj0g3I,19,264280,0.56,0.278,-12.501,0.0921,0.733,0.112,0.594,102.187
14vExHBkh1prEAN94wZug8,18,289041,0.595,0.805,-7.926,0.0543,0.0167,0.0691,0.359,102.44
0fzCtVM9D5UEwiLqcY8Ouq,65,322080,0.438,0.827,-6.531,0.0328,0.0512,0.319,0.645,143.377
6IF2P93LkyW4GqDQu1yS7H,55,238971,0.582,0.375,-13.277,0.0329,0.702,0.136,0.106,129.909
34dnNAUoIPcwnK0RtVMBWZ,47,276575,0.453,0.295,-12.881,0.0291,0.518,0.293,0.14,146.022
5aDpULK8MbJmHl42kR5KNI,56,249120,0.636,0.625,-7.895,0.0277,0.222,0.119,0.342,93.931
1fI1TMpz7FVkpoYBhmiywp,53,111734,0.639,0.201,-16.613,0.0526,0.907,0.124,0.4,88.107
23Mcmg5O8rBKAOzxvrTjnD,49,210760,0.69,0.423,-9.194,0.0294,0.883,0.111,0.59,130.121
0gVbkmFqq5fIkXtJJ3UTfM,51,255688,0.599,0.349,-9.269,0.0301,0.819,0.112,0.444,147.913
00DuOxungwHwVUX2m37P0P,53,181786,0.519,0.264,-11.171,0.0601,0.918,0.237,0.192,140.354
2lFlveK1y13WWp3vnQtrr3,66,244600,0.643,0.569,-7.459,0.0276,0.544,0.178,0.275,120.507
2WD93lsfJonaKtrQtpLB2R,56,174546,0.573,0.624,-9.076,0.0324,0.471,0.114,0.529,161.025
7njTGO45SkaBTNu35t2Yq0,47,234330,0.654,0.821,-5.472,0.0264,0.00666,0.228,0.613,111.958
6ivkBaxvclVhwZDE2uwldj,51,255600,0.426,0.399,-8.447,0.034,0.761,0.118,0.217,115.979
6Cvti10W0AzmzG9D1tpuKp,55,176542,0.505,0.21,-11.349,0.0295,0.907,0.11,0.323,80.721
03yc0G2OoH1Eeyu7Piy8fK,60,243494,0.693,0.43,-9.395,0.0442,0.565,0.0928,0.731,151.001
5RO0MNa5hBKIM4OcjygadU,40,188695,0.739,0.287,-14.007,0.059,0.969,0.111,0.557,80.64
78TKtlSLWK8pZAKKW3MyQL,58,229400,0.453,0.146,-8.976,0.0343,0.867,0.0945,0.0915,137.905
1esE8j1nVyzEQ5rVhYXoJT,55,216853,0.606,0.54,-6.271,0.0339,0.182,0.144,0.249,79.952
68Yc9ylRZZPtsuVgtrxcDj,50,149000,0.595,0.646,-5.495,0.0327,0.11,0.258,0.563,120.049
3tjjCCdXSdaVEo4q4y071G,52,157231,0.736,0.145,-9.215,0.0336,0.855,0.108,0.235,129.832
3tob5ofeuvFKKSbOTldenC,54,226603,0.479,0.126,-13.974,0.0303,0.966,0.113,0.279,96.327
4E6cwWJWZw2zWf7VFbH7wf,73,258826,0.583,0.786,-3.142,0.0301,0.0208,0.188,0.573,123.055
3uAdZpIbMTtVXitHVibLMV,38,194013,0.549,0.291,-13.457,0.0388,0.858,0.129,0.376,75.153
2LC523tbEPFpc1pnikbt5b,53,242439,0.418,0.489,-8.373,0.0323,0.287,0.42,0.398,72.891
3ISLwA96mtx13Wx7K1PPPk,55,232500,0.498,0.12,-17.721,0.0487,0.851,0.171,0.338,121.187
7Ca2CkwSqHyr3eCh8IRdjz,41,156787,0.769,0.135,-12.049,0.061,0.986,0.106,0.471,103.939
6ql0ffq6Jvyh9OKqrJCMaP,46,263823,0.434,0.469,-7.849,0.0265,0.52,0.108,0.0568,136.282
1EyvonxK8OGHRV4WDRdArc,63,250916,0.452,0.198,-9.374,0.0335,0.931,0.1,0.217,119.499
0EKBV6GybPtALXUgWqWrym,66,238493,0.544,0.5,-8.253,0.026,0.0325,0.109,0.177,93.621
41A82PidFKhGX5hm1WoaDs,54,215906,0.662,0.187,-9.003,0.0268,0.969,0.0922,0.233,104.988
5oV8bZaShr2d01FFMHBUPq,62,181136,0.497,0.13,-15.571,0.0436,0.841,0.111,0.179,130.769
5nMRpGfqQ0tb1TMbqBVK2J,57,157466,0.528,0.291,-9.696,0.0401,0.914,0.121,0.355,76.805
04qDUASuSfVp6fktfsxVej,68,233728,0.461,0.522,-7.513,0.043,0.36,0.123,0.446,157.768
3g61xRaqII8q1wlQDzv550,62,216612,0.483,0.506,-6.058,0.0347,0.394,0.0946,0.705,87.337
3dglCYsVMjPbDlU2CC9Vq7,53,245186,0.392,0.423,-7.813,0.0348,0.27,0.117,0.288,113.537
2f4jlGvGi3ZDGogXys5FUp,44,219613,0.42,0.2,-18.827,0.0492,0.929,0.0758,0.164,87.248
3NCg46FWgnANZc9HQHQOQR,57,248960,0.657,0.716,-5.675,0.0301,0.014,0.0483,0.435,93.924
0muntSMuAZzcwYBBMZj6sf,52,252466,0.495,0.185,-13.824,0.0288,0.692,0.109,0.196,101.89
4bXoVtbp6fN8FaSQvGQB41,53,246613,0.55,0.499,-9.502,0.0338,0.472,0.0798,0.144,86.966
3FRARAKLpHw3er9ZaTwaHO,53,198786,0.534,0.359,-9.311,0.0296,0.449,0.331,0.267,131.804
2Dzhwe90lhHXVU6lk7Nx0H,55,226640,0.378,0.52,-10.965,0.0382,0.777,0.0979,0.357,73.744
12niARgkwxGsklcEwh6GlG,66,203869,0.606,0.349,-13.967,0.0319,0.764,0.112,0.156,80.071
0v0pc1lIt5p6EBX7pnfOGF,49,317441,0.486,0.555,-9.466,0.0271,0.818,0.109,0.0992,77.987
5wQci5VCUjdbKnRD61XYwu,60,261640,0.577,0.446,-11.343,0.0313,0.554,0.116,0.262,81.005
0HQnJee8ShSDu2AYwibxst,38,211933,0.59,0.407,-9.079,0.0361,0.861,0.094,0.276,145.852
4VoJCUgNmnqG2qF0peDBkw,67,218800,0.538,0.315,-10.057,0.0291,0.96,0.0979,0.4,91.921
7xLhousIHDxoGgeJNhO4Ye,57,233266,0.447,0.158,-7.571,0.036,0.872,0.0816,0.142,140.942
1bhpBRCLsVg3p7BWARbaDS,60,156453,0.401,0.58,-6.86,0.0541,0.906,0.134,0.526,173.277
6NSlOEEtWlqvEFrjQsry77,64,165133,0.502,0.311,-13.421,0.0285,0.617,0.129,0.4,107.612
1HqVCK9h4LiJ61aRrrKTAt,0,216626,0.678,0.612,-9.764,0.0339,0.1,0.164,0.857,118.381
0wP19iM8ULJyV0r0LFDsDv,0,251426,0.65,0.406,-13.492,0.0761,0.568,0.484,0.862,79.642
27Fq4XyOkogdGLcfsVdjFb,0,209293,0.649,0.399,-7.894,0.0256,0.184,0.113,0.342,97.498
45jGOHwYKgsRYbAJ8DR61d,61,308146,0.523,0.445,-6.359,0.0329,0.188,0.18,0.336,78.957
4iObEYRE4FLm0D90gmZFef,50,221170,0.538,0.162,-13.31,0.0299,0.847,0.114,0.366,94.981
3akr0ZrJxLMBLIFeNNKffW,47,330786,0.519,0.429,-7.707,0.0317,0.658,0.111,0.396,129.491
7BRwh1bemr9rFMDeTbcy5S,58,234135,0.585,0.103,-12.682,0.0309,0.801,0.126,0.179,133.057
3rzRo91l4htQvMXhsiECAX,30,173250,0.578,0.763,-4.824,0.0998,0.0916,0.0743,0.394,96.808
0v1vufjir4OE4iRckLMoLd,52,336619,0.223,0.891,-3.626,0.138,0.325,0.287,0.333,159.888
4vAnqYqm1DOo5IDVcxORX3,55,144830,0.382,0.157,-16.157,0.0361,0.878,0.112,0.224,136.11
2X5AFygz5SDYlXagyPw8kX,67,221538,0.642,0.374,-10.606,0.032,0.423,0.435,0.0979,129.863
13GvSZgg9LOs3M9uGbWsPE,45,192972,0.436,0.239,-12.83,0.0282,0.861,0.0902,0.137,73.761
4cR4nao0hqqBtklQmGVqbe,56,278640,0.702,0.326,-6.638,0.0272,0.705,0.168,0.628,79.904
4x7AdVDV9IFWp8pg4LMz90,37,212864,0.593,0.292,-12.755,0.0364,0.828,0.174,0.375,111.121
5eNYumDY5PCXtKKJ0SWg2r,54,219466,0.285,0.186,-12.729,0.0288,0.76,0.104,0.203,153.848
6dwkFmLUz6hx2CZG2EqLol,66,249120,0.636,0.625,-7.895,0.0277,0.222,0.119,0.342,93.931
7aohwSiTDju51QmC54AUba,63,148400,0.698,0.285,-7.632,0.0553,0.927,0.0883,0.53,135.027
7g3ryXLtXExZ0OFCj17Ae1,58,244800,0.601,0.439,-7.589,0.0269,0.0642,0.0942,0.275,99.976
5MrgVJzR1du1gz8XWe4m28,55,270840,0.332,0.298,-14.174,0.0569,0.875,0.114,0.243,83.555
5auMzVHFr5Zfw6IbKarZ56,65,279826,0.386,0.452,-7.715,0.0278,0.417,0.0881,0.287,169.837
63bmIgH9sS6sX5Sc7MetGq,69,244067,0.62,0.668,-5.719,0.0305,0.088,0.362,0.183,118.013
3ZjSJv88euP3CdvTg07dZL,44,214738,0.394,0.281,-11.12,0.0414,0.826,0.0854,0.485,90.044
14BMBNRzv24eG6OKoIgPfP,39,207677,0.59,0.552,-10.496,0.0407,0.654,0.128,0.635,155.101
5pEmeoMUW38w1oU3kPelvR,54,265506,0.539,0.717,-7.385,0.031,0.000298,0.125,0.212,117.973
2h3VsZVKQeT0yLNQtCIRjn,44,188494,0.543,0.138,-14.331,0.0531,0.791,0.185,0.3,115.65
1dcNEEtODRVZEevQ20Cgmy,70,210354,0.62,0.547,-6.772,0.0248,0.112,0.19,0.208,98.032
6huS9u0BDfeQHq0lObNLPl,64,200706,0.761,0.311,-10.597,0.0692,0.647,0.15,0.553,109.891
14NiShC5b46yQxBN1mu9VJ,40,199256,0.674,0.122,-17.963,0.0427,0.882,0.139,0.339,130.014
3DyhwZyBFedvnt68fMi6vf,47,205666,0.429,0.358,-9.076,0.0346,0.614,0.0875,0.187,134.279
6kRZfOZSuoi0Htg6gROKDz,40,229573,0.456,0.101,-11.75,0.038,0.876,0.0776,0.155,139.896
